ID,Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Load_Applied,Date_of_Application,Date_of_Approval,Modified_Date,Status,Reviewer_ID,Reviewer_Name,Reviewer_Comments
1,Piya Kuruvilla,Female,South,Tamil Nadu,21335,INDIVIDUAL,PAN,QT5057GVuO,Residential,3,5/29/2025,6/4/2025,6/9/2025,Rejected,5288,Shalv Char,Installation completed
2,Tejas Banerjee,Female,East,Tamil Nadu,527620,JOINT,VOTER_ID,ui4288mSDl,Commercial,5,7/9/2025,7/15/2025,7/19/2025,Connection Released,7579,Charvi Khosla,KYC failed
3,Urvi Malhotra,Male,East,Tamil Nadu,626366,INDIVIDUAL,AADHAR,Tg3162gdkJ,Residential,7,7/4/2025,7/13/2025,7/14/2025,Rejected,1438,Urvi Bhasin,Installation completed
4,Gatik Shan,Female,West,Tamil Nadu,408320,JOINT,PAN,cg5390zlwr,Commercial,6,4/16/2025,4/23/2025,4/25/2025,Connection Released,2125,Neysa Bahl,KYC failed
5,Nirvaan Kamdar,Male,North,Tamil Nadu,867157,INDIVIDUAL,VOTER_ID,qG4499QYJg,Commercial,2,5/1/2025,5/3/2025,5/4/2025,Approved,9816,Renee Baria,KYC failed
6,Trisha Kapadia,Female,East,Tamil Nadu,142977,INDIVIDUAL,PASSPORT,uH6450EyFO,Commercial,10,5/4/2025,5/9/2025,5/13/2025,Pending,1164,Sana Lad,Documents Verification in progress
7,Ritvik Krishna,Male,West,Tamil Nadu,252575,JOINT,AADHAR,Vt6508IkOL,Residential,1,4/15/2025,4/22/2025,4/23/2025,Pending,6980,Rati Atwal,Documents Verification in progress
8,Siya Bajwa,Female,South,Tamil Nadu,390001,INDIVIDUAL,PAN,fC7297zNlZ,Commercial,10,6/13/2025,6/20/2025,6/25/2025,Rejected,2009,Dhanuk Srinivas,Installation pending
9,Zain Tripathi,Male,West,Tamil Nadu,900256,JOINT,VOTER_ID,NW7766tfyU,Commercial,4,6/12/2025,6/19/2025,6/23/2025,Approved,1126,Biju Anne,Installation completed
10,Shaan Shenoy,Male,West,Tamil Nadu,877260,INDIVIDUAL,PASSPORT,as1914Tqmh,Commercial,6,7/8/2025,7/16/2025,7/19/2025,Rejected,9454,Faiyaz Dugar,Installation pending
11,Hiran Sidhu,Female,South,Tamil Nadu,524806,INDIVIDUAL,AADHAR,rG1172DwlV,Commercial,9,4/21/2025,4/26/2025,4/28/2025,Approved,2681,Shaan Bhasin,Installation pending
12,Rohan Amble,Female,West,Tamil Nadu,402669,INDIVIDUAL,PAN,dJ5747cEuK,Residential,7,5/2/2025,5/7/2025,5/8/2025,Pending,2976,Devansh Sundaram,Installation pending
13,Shanaya Butala,Male,South,Tamil Nadu,623313,JOINT,PAN,ew6700nObh,Residential,8,5/22/2025,5/27/2025,6/1/2025,Connection Released,3714,Baiju Deo,Installation completed
14,Samaira Ganesan,Male,West,Tamil Nadu,678795,INDIVIDUAL,VOTER_ID,gi8645FhdN,Residential,10,4/22/2025,4/28/2025,5/1/2025,Approved,1414,Gatik Chaudry,Installation pending
15,Nirvaan Bakshi,Female,East,Tamil Nadu,475248,JOINT,AADHAR,oW9868BcYM,Residential,6,6/22/2025,6/23/2025,6/25/2025,Approved,4657,Yuvaan Sunder,Installation completed
16,Madhav Chander,Female,North,Tamil Nadu,801296,INDIVIDUAL,PAN,Al9543WrlP,Commercial,4,6/26/2025,7/6/2025,7/11/2025,Approved,4335,Rasha Sengupta,Installation pending
17,Nirvi Singhal,Female,South,Tamil Nadu,89896,JOINT,PASSPORT,wg9131zYeJ,Residential,10,6/14/2025,6/20/2025,6/25/2025,Pending,5061,Zaina Doshi,KYC failed
